;IIH1;IIH2;IIH3;IIH4;IIH5;IIH6;IIH7;IIH8;IIH9;IIH10;IIH11;IIH12;IIH_total;Tratamento 
PC01_1;1;1;0.666666667;1;0.666666667;1;0.75;0.666666667;0.333333333;0.666666667;1;0.75;0.791666667;Controle
PC06_1;0.75;0.8;0.666666667;0.666666667;0.333333333;1;1;0.666666667;0.333333333;0.666666667;1;0.75;0.719444444;Controle
PC07_1;1;1;0.666666667;1;0.666666667;1;0.75;0.666666667;0;0.666666667;1;0.75;0.763888889;Controle
PC06_2;0.75;0.8;0.666666667;0.666666667;0.333333333;1;1;0.666666667;0.333333333;0.666666667;1;0.75;0.719444444;Controle
PC07_2;1;1;0.666666667;1;0.666666667;1;0.75;0.666666667;0;0.666666667;1;0.75;0.763888889;Controle
PC08_2;1;0.8;0.666666667;1;1;1;1;0.666666667;0.333333333;0.666666667;1;0.75;0.823611111;Controle
PC09_2;0.5;0.6;0.333333333;0.666666667;0.333333333;0.333333333;1;1;0.333333333;0.666666667;1;0.75;0.626388889;Controle
PM04_1;0;0.4;0.333333333;0.333333333;0.333333333;0.333333333;0;0.333333333;0;0.333333333;0.333333333;0.75;0.290277778;direto
PM05_1;0;0.2;0.333333333;0;0;0.333333333;0.25;0.333333333;0;0;0;0.25;0.141666667;direto
PM05_3;0;0.8;0.5;0.666666667;0.333333333;0.333333333;0.5;0.666666667;0.166666667;0.666666667;1;0.75;0.791666667;direto
PM01_2;0;0.8;0.666666667;0.666666667;0;0.333333333;0.25;1;0;0.666666667;1;0.75;0.511111111;direto
PM02_2;0;0.8;0.666666667;0.666666667;0.333333333;0.333333333;0;1;0.333333333;0.666666667;1;0.75;0.545833333;direto
PM05_2;0;0.2;0.333333333;0;0;0.333333333;0.25;0.333333333;0;0;0;0.25;0.141666667;direto
PC05_1;0;0.8;0.333333333;0.666666667;0;0.333333333;0;1;0;0.666666667;1;0.25;0.420833333;direto
PC03_2;0;0.6;0.333333333;0.666666667;0.333333333;0.333333333;0.5;1;0.333333333;0.666666667;0.666666667;0.75;0.515277778;direto
PC03_3;0;0.6;0.333333333;0.666666667;0.333333333;0.333333333;0.5;1;0.333333333;0.666666667;0.666666667;0.75;0.515277778;direto
PC05_3;0;0.8;0.333333333;0.666666667;0;0.333333333;0;1;0;0.666666667;1;0.25;0.420833333;direto
