"Longitude","Latitude","IIH"
-48.709981,-1.573472,0.791666667
-48.669379,-1.637713,0.719444444
-48.692825,-1.578694,0.763888889
-48.669379,-1.637713,0.719444444
-48.692825,-1.578694,0.763888889
-48.698907,-1.617918,0.823611111
-48.69445,-1.629492,0.626388889
-48.712773,-1.530502,0.290277778
-48.70502,-1.525557,0.141666667
-48.70502,-1.525557,0.791666667
-48.725863,-1.547735,0.511111111
-48.724393,-1.541942,0.545833333
-48.70502,-1.525557,0.141666667
-48.696484,-1.55977,0.420833333
-48.71892,-1.561019,0.515277778
-48.71892,-1.561019,0.515277778
-48.696484,-1.55977,0.420833333
